     support confidence      lift leverage    jaccard
470    0.150  0.8108108  2.350176 0.086175 0.39473684
471    0.155  0.9117647  2.497985 0.092950 0.40789474
472    0.155  0.8611111  2.495974 0.092900 0.41891892
473    0.205  0.9111111  2.306610 0.116125 0.49397590
474    0.205  0.6612903  1.763441 0.088750 0.42708333
475    0.205  0.8367347  2.425318 0.120475 0.53246753
476    0.215  0.9555556  2.359396 0.123875 0.51807229
477    0.215  0.7049180  1.879781 0.100625 0.46236559
478    0.215  0.7962963  2.308105 0.121850 0.53750000
479    0.165  0.7333333  1.466667 0.052500 0.29464286
480    0.165  0.9428571  2.514286 0.099375 0.42857143
481    0.165  0.7333333  2.125604 0.087375 0.40740741
482    0.290  0.9354839  2.309837 0.164450 0.68235294
483    0.290  0.9508197  2.407138 0.169525 0.70731707
484    0.290  0.8055556  2.334944 0.165800 0.69879518
485    0.100  0.8695652  2.201431 0.054575 0.24390244
486    0.100  0.6896552  1.999000 0.049975 0.25641026
487    0.160  0.9142857  2.314647 0.090875 0.39024390
488    0.160  0.8000000  2.318841 0.091000 0.41558442
489    0.150  0.8823529  2.233805 0.082850 0.36144578
490    0.150  0.7692308  2.229654 0.082725 0.38461538
491    0.085  0.7391304  1.825013 0.038425 0.19540230
492    0.085  0.6800000  1.971014 0.041875 0.22077922
493    0.165  0.9428571  2.328042 0.094125 0.39759036
494    0.165  0.7674419  2.224469 0.090825 0.41772152
495    0.140  0.8235294  2.033406 0.071150 0.32183908
496    0.140  0.7368421  2.135774 0.074450 0.35443038
