     support confidence      lift      leverage    jaccard
401    0.085  0.9444444  2.518519  5.125000e-02 0.22368421
402    0.085  0.5666667  3.333333  5.950000e-02 0.36170213
403    0.110  0.6666667  1.777778  4.812500e-02 0.25581395
404    0.110  0.9166667  3.525641  7.880000e-02 0.40740741
405    0.110  0.5945946  3.397683  7.762500e-02 0.44000000
406    0.070  0.8750000  3.365385  4.920000e-02 0.25925926
407    0.070  0.5384615  3.076923  4.725000e-02 0.29787234
408    0.095  0.5757576  1.151515  1.250000e-02 0.16666667
409    0.095  1.0000000  3.846154  7.030000e-02 0.36538462
410    0.095  0.7307692  4.175824  7.225000e-02 0.45238095
411    0.090  0.7500000  1.500000  3.000000e-02 0.16981132
412    0.090  0.9473684  2.526316  5.437500e-02 0.23684211
413    0.090  0.6000000  3.428571  6.375000e-02 0.38297872
414    0.150  1.0000000  2.857143  9.750000e-02 0.42857143
415    0.150  0.8571429  2.721088  9.487500e-02 0.44117647
416    0.135  0.9000000  2.535211  8.175000e-02 0.36486486
417    0.135  0.8437500  2.678571  8.460000e-02 0.39705882
418    0.140  0.9333333  2.557078  8.525000e-02 0.37333333
419    0.140  0.8235294  2.614379  8.645000e-02 0.40579710
420    0.140  0.9333333  2.196078  7.625000e-02 0.32183908
421    0.140  0.7777778  2.469136  8.330000e-02 0.39436620
422    0.140  0.5090909  2.121212  7.400000e-02 0.37333333
423    0.070  0.5833333  1.851852  3.220000e-02 0.19178082
424    0.080  0.5333333  1.066667  5.000000e-03 0.14035088
425    0.080  0.6666667  2.116402  4.220000e-02 0.22535211
426    0.060  0.8571429  2.348337  3.445000e-02 0.16000000
427    0.060  0.7500000  2.173913  3.240000e-02 0.16438356
428    0.060  0.8571429  2.169982  3.235000e-02 0.14814815
429    0.060  0.6666667  1.932367  2.895000e-02 0.16000000
430    0.140  0.8000000  2.253521  7.787500e-02 0.35897436
431    0.140  0.8750000  2.500000  8.400000e-02 0.37837838
432    0.150  0.8571429  2.348337  8.612500e-02 0.38461538
433    0.150  0.8823529  2.521008  9.050000e-02 0.40540541
434    0.150  0.5084746  2.118644  7.920000e-02 0.38961039
435    0.160  0.9142857  2.151261  8.562500e-02 0.36363636
436    0.160  0.8888889  2.539683  9.700000e-02 0.43243243
437    0.160  0.5333333  2.222222  8.800000e-02 0.42105263
438    0.075  0.6250000  1.785714  3.300000e-02 0.18987342
439    0.100  0.5714286  1.142857  1.250000e-02 0.17391304
440    0.100  0.8333333  2.380952  5.800000e-02 0.27027027
441    0.100  0.5555556  2.314815  5.680000e-02 0.31250000
442    0.150  0.9375000  2.568493  9.160000e-02 0.40000000
443    0.150  0.8823529  2.485501  8.965000e-02 0.40000000
444    0.160  1.0000000  2.352941  9.200000e-02 0.37647059
445    0.160  0.8888889  2.503912  9.610000e-02 0.42666667
