     support confidence      lift leverage   jaccard
459    0.115  0.9200000  1.840000 0.052500 0.2254902
460    0.050  1.0000000  5.882353 0.041500 0.2941176
461    0.050  1.0000000  6.060606 0.041750 0.3030303
462    0.050  0.9090909  6.993007 0.042850 0.3703704
463    0.050  1.0000000  5.714286 0.041250 0.2857143
464    0.050  1.0000000  6.060606 0.041750 0.3030303
465    0.050  0.9090909  6.993007 0.042850 0.3703704
466    0.050  1.0000000  3.846154 0.037000 0.1923077
467    0.050  1.0000000  6.060606 0.041750 0.3030303
468    0.050  0.9090909  6.993007 0.042850 0.3703704
469    0.050  1.0000000  5.714286 0.041250 0.2857143
470    0.050  1.0000000  5.882353 0.041500 0.2941176
471    0.050  0.9090909  6.993007 0.042850 0.3703704
472    0.050  1.0000000  3.846154 0.037000 0.1923077
473    0.050  1.0000000  5.882353 0.041500 0.2941176
474    0.050  0.9090909  6.993007 0.042850 0.3703704
475    0.050  1.0000000  3.846154 0.037000 0.1923077
476    0.050  1.0000000  5.714286 0.041250 0.2857143
477    0.050  0.9090909  6.993007 0.042850 0.3703704
478    0.055  1.0000000  5.714286 0.045375 0.3142857
479    0.055  1.0000000  5.882353 0.045650 0.3235294
480    0.055  1.0000000  6.060606 0.045925 0.3333333
481    0.055  1.0000000  3.846154 0.040700 0.2115385
482    0.055  1.0000000  5.882353 0.045650 0.3235294
483    0.055  1.0000000  6.060606 0.045925 0.3333333
484    0.050  0.9090909  1.818182 0.022500 0.0990099
485    0.050  1.0000000  5.882353 0.041500 0.2941176
486    0.050  1.0000000  6.060606 0.041750 0.3030303
487    0.055  1.0000000  3.846154 0.040700 0.2115385
488    0.055  1.0000000  5.714286 0.045375 0.3142857
489    0.055  1.0000000  6.060606 0.045925 0.3333333
490    0.050  0.9090909  1.818182 0.022500 0.0990099
491    0.050  1.0000000  5.714286 0.041250 0.2857143
492    0.050  1.0000000  6.060606 0.041750 0.3030303
493    0.050  0.9090909  1.818182 0.022500 0.0990099
494    0.050  1.0000000  3.846154 0.037000 0.1923077
495    0.050  0.9090909  5.509642 0.040925 0.2941176
496    0.050  0.8333333 13.888889 0.046400 0.7142857
